ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Employment (Operational),proposal_url,Village Code,Employment (Construction),KML URLs,District,Project Description,Plot Number
7207852,New,WL/LD/IRRIG/438571/2023,2023-07-29T12:06:58.510+00:00,,,1.333,342.0,Department of Land Resources,,Wildlife clearance form,,,,Test30July,LAKSHADWEEP,Ramachandrapuram,CHITTATURU,,,sdfdsf/23,Hybrid,0.123,1.21,1.333,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Test39July,NO,NO,NO,2023-07-29T12:11:04.648+00:00,133.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7207852,596249,288.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7207803&refType=caf&uuid=d3e1bae4-7531-49e8-b57b-9027b619d3fd&version=1.0,Tirupati,Test39July,sdfdsf/23
7191306,New,WL/LD/CommPost/438479/2023,2023-07-28T12:47:02.346+00:00,,,1.44,131.0,Department of Land Resources,,Wildlife clearance form,,,,Test29July,LAKSHADWEEP,Ramachandrapuram,CHITTATURU,,,df/345345,Hybrid,0.23,1.21,1.44,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Test29July,NO,NO,NO,2023-07-28T12:52:15.520+00:00,737.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7191306,596249,25.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7191252&refType=caf&uuid=7891d462-07e9-4490-88eb-8f90e0dc541e&version=1.0,Tirupati,Test29July,df/345345
7149403,New,WL/LD/FVC/438294/2023,2023-07-27T09:47:45.991+00:00,,,2.0,1.0,Department of Land Resources,,Wildlife clearance form,,,,WL_27072023,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,6,Linear,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,LDHD,NO,NO,NO,2023-07-27T09:50:09.093+00:00,2.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7149403,800609,2.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7148802&refType=caf&uuid=a3f53fba-9f8a-4ee0-8841-3a868adcc975&version=1.0,Kota,DESCRIPTION,6
7146785,New,WL/LD/SRY/438284/2023,2023-07-27T09:14:48.262+00:00,,,2.0,1.0,Department of Land Resources,,Wildlife clearance form,,,,WL_27072023,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,1,Linear,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,jdfsldj,NO,NO,NO,2023-07-27T09:15:07.306+00:00,2.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7146785,800609,2.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7146712&refType=caf&uuid=8fdcaa6b-5a81-4002-bc30-508cc55a38db&version=1.0,Kota,Description,1
7129038,New,WL/LD/CommPost/438207/2023,2023-07-26T14:14:25.669+00:00,,,0.2,232.0,Department of Land Resources,,Wildlife clearance form,,,,Testing26July2023,LAKSHADWEEP,Ramachandrapuram,CHITTATURU,,,asdf/12313,Linear,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Testing26July2023,NO,NO,NO,2023-07-26T14:16:54.784+00:00,9.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7129038,596249,14.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7128988&refType=caf&uuid=7ef1f309-94f4-4e62-bdf8-8009f248a1f3&version=1.0,Tirupati,Testing26July2023,asdf/12313
7125166,New,WL/LD/CommPost/438185/2023,2023-07-26T12:18:52.032+00:00,,,0.001,213123.0,Department of Land Resources,,Wildlife clearance form,,,,Test26July,LAKSHADWEEP,Agra,BUDHANA,,,ts/1212,Linear,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Pending for Testing,NO,NO,NO,2023-07-26T12:21:39.635+00:00,12.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7125166,800805,153.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7124933&refType=caf&uuid=09377f2a-45ed-4f94-a801-61a2fcf2084f&version=1.0,Agra,Pending for Testing,ts/1212
7122623,New,WL/LD/CommPost/438177/2023,2023-07-26T11:39:27.502+00:00,,,0.001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC 26072023 -3,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Linear,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,nn,NO,NO,NO,2023-07-26T11:42:10.403+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7122623,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7122500&refType=caf&uuid=58eb0462-2f64-4502-8f28-e87a9b07bb4a&version=1.0,Kota,proj desc,
7122143,New,WL/LD/CommPost/438174/2023,2023-07-26T11:31:45.389+00:00,,,0.001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC 26072023,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Linear,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,n,NO,NO,NO,2023-07-26T11:32:57.634+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7122143,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7121147&refType=caf&uuid=ac86ee55-c441-4881-8aa5-edb9c43c95b0&version=1.0,Kota,proj desc,
7106430,New,WL/LD/SRY/438105/2023,2023-07-26T06:58:43.772+00:00,,,0.001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC 26072023 WF1,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Linear,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-07-26T06:59:05.141+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7106430,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7106348&refType=caf&uuid=8ebd3c68-4d8a-4599-94a0-7f3791de0a96&version=1.0,Kota,Proj desc,
7084888,New,WL/LD/RainHarvest/438011/2023,2023-07-25T11:07:34.195+00:00,,,0.001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC 25072023,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Linear,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,n,NO,NO,NO,2023-07-25T11:09:26.765+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7084888,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7084770&refType=caf&uuid=a676a89c-09a8-400a-82ba-10580d645a3b&version=1.0,Kota,Proj desc,
7066955,New,WL/LD/HYD/437921/2023,2023-07-24T12:33:43.985+00:00,,,0.001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC 24072023 ,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Non - Linear,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,n,NO,NO,NO,2023-07-25T09:48:00.423+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7066955,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7066605&refType=caf&uuid=8aab3f53-1c0e-4fe9-b44e-696ca422e2b7&version=1.0,Kota,Proj desc,
6962545,New,WL/LD/SRY/437479/2023,2023-07-20T08:54:24.189+00:00,,,0.001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC 14072023,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Non - Linear,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,n,NO,NO,NO,2023-07-20T08:56:32.988+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6962545,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6802739&refType=caf&uuid=5ddf45ad-be7c-4e51-a37b-40173010353f&version=1.0,Kota,proj desc,
6962467,New,WL/LD/Others/437477/2023,2023-07-20T08:51:41.167+00:00,,,0.001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC 20072023 - WF1,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Linear,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,n,NO,NO,NO,2023-07-20T09:56:40.639+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6962467,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6962362&refType=caf&uuid=70820241-4427-47d3-9bb6-bb6db040d91e&version=1.0,Kota,proj desc,
6863439,New,WL/LD/BHP/437014/2023,2023-07-17T10:11:26.177+00:00,,,0.0001,1.0,Department of Land Resources,,Wildlife clearance form,,,,WLC - 17072023 WF-1,LAKSHADWEEP,Ladpura,KOTA MUNICIPAL AREA,,,,Non - Linear,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,n,NO,NO,NO,2023-07-17T10:24:01.240+00:00,37.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6863439,800609,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6862952&refType=caf&uuid=1b98c209-4e59-4656-b576-1fcae4037fc5&version=1.0,Kota,Proj desc,
