ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,proposal_url,Village Code,Plot Number,District,Employment (Construction),Project Description,KML URLs,Employment (Operational)
6786904,Amendment,IA/PY/IND3/436691/2023,2023-07-14T06:34:56.217+00:00,2023-09-10T09:07:25.936+00:00,Standard ToR Granted,15.79,61400.0,CHEMPLAST SANMAR LIMITED,"Aqua Air Environmental Engineers Pvt Ltd, Surat",Environment clearance form,TOR,A,Chlor-alkali industry,Expansion of Caustic Soda Manufacturing Unit of Chemplast Sanmar Limited-Karaikal,PUDUCHERRY,Karaikal Taluk,VANJIYUR,	J-11011/24/96-IA.II (I),,,Non - Linear,15.79,0.0,15.79,0.0,0.0,0.0,36400.0,25000.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-08-22T09:57:08.934+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6786904,644994,,Karaikal,3850.0,"The Proposal is for Amendment in Granted TORs vide Letter No. J-11011/24/96-IA. II (I) & Identification No. TO23A1601PY5144830N dated 10/09/2023 for Expansion of Caustic Soda in the existing manufacturing plant located at R.S NO. 33 (part), 34 (part), 36 (part), 37 (part), 38 (part), 39 (part), 40 (part), 42 (part), 43(part), 44(part), Vanjore Village, T.R Pattinam Commune, Karaikal  – 609602",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=52740210&refType=caf&uuid=229db960-47fc-4f58-aaa0-884f9cc0329e&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6783148&refType=caf&uuid=41cec2a8-93f9-4263-baf3-2f08a3244a4c&version=1.0,36600.0
6773207,Expansion,IA/PY/IND1/436622/2023,2023-07-13T11:23:01.194+00:00,2023-07-26T07:12:20.001+00:00,Standard ToR Granted,1.53,369.09, MEENAKSHI INDUSTRIES,ABC Techno Labs India Private Limited (formerly known as ABC Environ Solutions Pvt. Ltd.),Environment clearance form,TOR,B1,Metallurgical Industries (ferrous and non ferrous),"Proposed Expansion of Meenakshi Industries from 100 TPD to 250 TPD of MS Rounds, Tore Steels, Rerolled products (MS Angles/Channels) at R.S. No. 13/8, 13/9 of Thelampakkam Village, Suthukani Post, Mannadipet Commune, Puducherry",PUDUCHERRY,Villianur Taluk,THETHAMPAKKAM,IA-J-11011/263/2023-IA-II(IND-I),,"13/8, 13/9",Non - Linear,1.53,0.0,1.53,0.0,0.0,0.0,169.09,200.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-07-22T16:22:20.341+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6773207,644929,"13/8, 13/9",Puducherry,4500.0,"Production enhancement from 33000 TPA to 82500 TPA. The existing unit is hot rolling type rolling mill that produces MS Rounds, Tore Steels, Rerolled products (MS Angles/Channels). The proposed expansion unit will also manufacture the MS Rounds, Tore Steels, Rerolled products (MS Angles/Channels) only. The unit has existing CTO from PCC and is applying for regularization of EC as per MOEF&CC S.O. 3250(E) dated 20-07-2022.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6772575&refType=caf&uuid=e039d2c2-1752-493b-bcac-f1a66d68080a&version=1.0,42900.0
6736129,Expansion,WL/PY/INFRA/436474/2023,2023-07-12T09:53:13.545+00:00,,,77.76,165355.24,JIPMER,,Wildlife clearance form,,,,“Proposed expansion and modifications in existing premises of Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER)” ,PUDUCHERRY,Ozhukarai Taluk,THATTANCHAVADY,,,"213/1, 218 Part, 228 Part",Non - Linear,77.76,0.0,77.76,0.0,0.0,0.0,139144.24,26211.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,YES,2023-07-13T14:16:11.837+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6736129,937517,"213/1, 218 Part, 228 Part",Puducherry,69000.0,"The   project   is   already   developed   into Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER)  with total existing built up area is 3,40,739 Sq.m (hospital buildings -1,48,916.60 Sqm and Non hospital buildings - 1,91,822.40) and total proposed building with built up area is 49,479.7 Sq.m (Hospital Building – 23,917.8 Sq.m & Non Hospital building – 25561.9 Sq.m)  and Total builtup area After expansion is 3,90,218.7 Sq.m.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6728109&refType=caf&uuid=91ad6876-66a1-48ce-94bd-7a6fe4805c0d&version=1.1,7124435.0
6714852,Expansion,IA/PY/IND1/436384/2023,2023-07-11T15:23:35.843+00:00,2023-07-25T10:15:51.303+00:00,Standard ToR Granted,1.4,2088.0, MEENAKSHI STEELS,ABC Techno Labs India Private Limited (formerly known as ABC Environ Solutions Pvt. Ltd.),Environment clearance form,TOR,B1,Metallurgical Industries (ferrous and non ferrous),"Proposed expansion of Meenakshi Steels from 100 TPD to 250 TPD of MS Billets at R.S. No. 14/5 of Thelampakkam Village, Suthukani Post, Mannadipet Commune, Puducherry",PUDUCHERRY,Villianur Taluk,THETHAMPAKKAM,IA-J-11011/265/2023-IA-II(IND-I),,14/5,Non - Linear,1.4,0.0,1.4,0.0,0.0,0.0,1388.0,700.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-07-22T15:43:00.521+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6714852,644929,14/5,Puducherry,4500.0,Production enhancement from 33000 TPA to 82500 TPA. The existing unit is an induction furnace based steel plant that produces MS Billets. The proposed expansion unit will also manufacture the MS Billets only. The unit has existing CTO from PCC and is applying for regularization of EC as per MOEF&CC S.O. 3250(E) dated 20-07-2022.,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6714768&refType=caf&uuid=1fd36ea7-1687-4f79-b66e-0ef6e884357b&version=1.0,42900.0
6532009,Amendment,IA/PY/INFRA2/435564/2023,2023-07-04T07:30:20.051+00:00,,,10.92,3500.0, RE SUSTAINABILITY IWM SOLUTIONS LIMITED,Re Sustainability Solutions Private Limited (formerly Ramky Enviro Services Pvt Ltd),Environment clearance form,TOR,A,Others (Specify),"Establishment of Integrated Common  Hazardous Waste Treatment Storage Disposal and Recycling Facility  (ICHWTSDRF) at Village Polagam, District Karaikal, Pondicherry by M/s.  Karaikal Waste Management Project (a unit division of M/s. Re  Sustainability IWM Solution Ltd)",PUDUCHERRY,Karaikal Taluk,POLAGAM,,,"Survey No’s: B-44 pt., B-38, B-29, B-33, B-26, B-30, A-195, E-3, C-20, B-62, A-10, A-14, A-21, B-48, A-173, A-162, B-2, A-179, A-171 pt., B-63, B-47 pt., A-178, B-9 pt., B-21 pt., B-1 pt., A-190pt., B-14 pt., B-17 pt. & B-16 pt",Non - Linear,10.92,0.0,10.92,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,The project site is located with Notified Industrial Growth Centre under PIPDIC,NO,NO,NO,2023-08-16T07:18:04.828+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6532009,644993,"Survey No’s: B-44 pt., B-38, B-29, B-33, B-26, B-30, A-195, E-3, C-20, B-62, A-10, A-14, A-21, B-48, A-173, A-162, B-2, A-179, A-171 pt., B-63, B-47 pt., A-178, B-9 pt., B-21 pt., B-1 pt., A-190pt., B-14 pt., B-17 pt. & B-16 pt",Karaikal,16925.0,This is proposed establishment of Integrated Common Hazardous Waste Treatment Storage Disposal Facility (ICHWTSDF),https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6525477&refType=caf&uuid=e78894a8-b5ed-4084-8797-8adaaf983617&version=1.0,16455.0
5978360,New,IA/PY/IND3/432721/2023,2023-06-08T11:43:59.642+00:00,2024-05-24T03:16:30.510+00:00,EC Granted,3.1485,60000.0,CHEMPLAST SANMAR LIMITED,,Environment clearance form,EC,A,,"Environment Clearance for Proposed Project for Custom Manufactured Chemicals Division (CMCD) of Chemplast Sanmar Limited at Village Melavanjore, T. R. Pattinam, Karaikal,  Puducherry UT by M/s. Chemplast Sanmar Limited",PUDUCHERRY,Karaikal Taluk,VANJIYUR,IA-J-11011/119/2022-IA-II(I),,,Non - Linear,3.1485,0.0,3.1485,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,"No alternate site was considered for the project because of the following reasons: Water: Chemplast Sanmar Limited (CSL) has decided to completely forego the use of ground water for any of its projects. This led to a choice of desalination plant to meet the entire water requirement of the operations. The proposed location being closer to sea, CSL proposes to set up a desalination plant to cater to its fresh water requirements and will apply as separate application. The proposed desalination plan",NO,NO,NO,2023-09-11T13:33:18.741+00:00,Located within industrial estates,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=5978360,644994,,Karaikal,189800.0,The proposed project is Agro and other intermediates Speciality Chemicals Manufacturing Plant that is covered under Category – 5 (f) & 5 (b) (One Product in 5b is Spiropidion (SPID)),https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=833892&refType=caf&uuid=c42d0246-5ce3-4f75-af94-b69b85a9b04c&version=1.1,116800.0
5857760,Expansion,WL/PY/INFRA/432124/2023,2023-06-03T09:48:12.695+00:00,,,77.726,139406.35,JIPMER,,Wildlife clearance form,,,,“Proposed Expansion and Modification in Existing Premises”,PUDUCHERRY,Ozhukarai Taluk,THATTANCHAVADY,,,,Non - Linear,77.726,0.0,77.726,0.0,0.0,0.0,139144.24,262.11,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,YES,2023-07-08T09:23:11.084+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=5857760,937517,,Puducherry,69000.0,"The   project   is   already   developed   into Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER)  with total existing built up area is 3,40,739 Sq.m (hospital buildings -1,48,916.60 Sqm and Non hospital buildings - 1,91,822.40) and total proposed building with built up area is 49,479.7 Sq.m (Hospital Building – 23,917.8 Sq.m & Non Hospital building – 25561.9 Sq.m)  and Total builtup area After expansion is 3,90,218.7 Sq.m.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=5829606&refType=caf&uuid=f54b3f27-5053-476d-8cd5-f9cd6ef5c575&version=1.0,7124435.0
4171981,Expansion,IA/PY/INFRA2/423328/2023,2023-03-24T11:35:11.810+00:00,2023-10-10T05:48:51.231+00:00,Withdrawal Request Accepted,13.9272,2132.89, THE MADRAS MEDICAL MISSION,Hubert Enviro Care Systems,Environment clearance form,TOR,B2,Building / Construction ,"Proposed Expansion of Super Specialty Block, ETC Block, OPD Block, OPD Extension Block and proposed Health Sciences Building within Pondicherry Institute of Medical Sciences Premises",PUDUCHERRY,Ozhukarai Taluk,KALAPET,,,"7/1, 7/2, 7/3, 7/6, 7/7, 9/2, 9/3, 9/4, 9/5, 9/6, 9/7, 9/8, 9/9, 9/10, 10/1, 10/2, 10/4, 10/5, 10/6, 11/1, 11/2, 11/3, 11/4, 12/1, 12/2, 12/3, 12/4, 12/5, 12/6, 12/7, 12/8, 12/9, 12/10, 13/3",Linear,13.9272,0.0,13.9272,0.0,0.0,0.0,1890.53,242.36,0,0,0,Not applicable as the project or activity is site specific,,YES,NO,YES,2023-09-27T05:49:04.141+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=4171981,937516,"7/1, 7/2, 7/3, 7/6, 7/7, 9/2, 9/3, 9/4, 9/5, 9/6, 9/7, 9/8, 9/9, 9/10, 10/1, 10/2, 10/4, 10/5, 10/6, 11/1, 11/2, 11/3, 11/4, 12/1, 12/2, 12/3, 12/4, 12/5, 12/6, 12/7, 12/8, 12/9, 12/10, 13/3",Puducherry,9125.0,;,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=4126334&refType=caf&uuid=ec4626c2-3404-4321-b593-24138103c137&version=1.2,2351695.0
3798174,Expansion,IA/PY/CRZ/421413/2023,2023-03-09T04:30:58.065+00:00,,,9.26,5700.0, MAHINDRA HOLIDAYS AND RESORTS INDIA LIMITED,,CRZ clearance form,CRZ,,,Construction of Expansion of Guest Rooms and Infrastructure Buildings. Expansion,PUDUCHERRY,Bahour Taluk,MANAPATTU,,,"",Linear,9.26,0.0,9.26,0.0,0.0,0.0,2600.0,3100.0,0,0,0,NO,As it an expansion of the existing project,NO,NO,NO,2023-03-13T11:24:32.020+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=3798174,644979,"",Puducherry,73000.0,"Proposed Construction of Expansion of Guest Rooms and Infrastructure Buildings. in Plot/Survey No. R.S. No. 200pt, 201pt & 205pt, Valluvar Medu, Manapet Village, Bahour Commune Panchayat,  Puducherry by M/s. Mahindra Holidays & Resort India Ltd., Pudhuchery Union Territory. Total Land Area: 92,629.60sq.m (22.89 Acres). Ground coverage of Existing 5298.17Sq.m and proposed 5027.00Sq.m. Total Ground coverage 10325.17 Sq.m The project site is located near to Coastline of Bay of Bengal. Total built up area is 17249.82Sq.m (Exisitng 8161.820Sq.m and Proposed area is 9088.00Sq.m)",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=3797555&refType=caf&uuid=da6d9f26-7c3e-4c2d-ad5c-edebcaeef6a0&version=1.0,54750.0
3199424,Expansion,IA/PY/IND3/419215/2023,2023-02-21T09:08:49.737+00:00,2023-02-28T20:44:24.147+00:00,TOR GRANTED,0.093,3146.09, ANABOND LIMITED,,Environment clearance form,TOR,B1,Synthetic organic chemicals industry ,"Proposed expansion of manufacturing facility of existing sealants and proposed sealants, adhesives, lubricants, resins and R&D of Spur Polymer, Polyurethane Dispersion and Acrylic Emulsion.",PUDUCHERRY,Villianur Taluk,THIRUBUVANAI,IA-J-11011/80/2023-IA-II(I),IA-J-11011/80/2023-IA-II(I),"RS No. 26/2 and 26/8, CAD No. 80, 81& 82",Linear,0.093,0.0,0.093,1.6633,0.0,1.6633,614.21,2531.88,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-02-21T15:56:00.335+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=3199424,644940,"RS No. 26/2 and 26/8, CAD No. 80, 81& 82",Puducherry,22500.0,"The proposed expansion project scope involves setting up of manufacturing plant of 4015.125 TPA existing sealants and proposed sealants, adhesives, lubricants, resins and R&D of Spur Polymer, Polyurethane Dispersion and Acrylic Emulsion  adjacent to the existing unit  having the land area of 16,633 sq m and the proposed project falls under Schedule 5 (f) Synthetic Organic Chemicals and Category B1.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=3197862&refType=caf&uuid=ea4f6256-a28d-41ba-90f1-cba74ff58537&version=1.0,15288.0
2041455,Expansion,WL/PY/INFRA/410875/2022,2022-12-15T12:39:28.328+00:00,,,0.643,668.0, SWATHI ORGANICS & SPECIALITIES PRIVATE LTD,,Wildlife clearance form,,,,PROPOSED POLYMERIZATION PLANT WITHIN THE EXISITNG FACILITY,PUDUCHERRY,Ozhukarai Taluk,OZHUKARAI,,,"A35/36 PIPDIC Industrial Estate, Mettupalayam",Linear,0.643,0.0,0.643,0.0,0.0,0.0,168.0,500.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2041455,937513,"A35/36 PIPDIC Industrial Estate, Mettupalayam",Puducherry,0.0,Acrylic polymers( solution & emulsion).Polyimide resin.,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1873324&refType=caf&uuid=62db4f78-0416-444e-9825-62366d908c9b&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59109&refId=2041454&refType=caf&uuid=d0ea36c2-27a7-48f7-b7c0-731d7f019755&version=1.3,21888.0
1787574,Expansion,IA/PY/IND3/408617/2022,2022-11-30T05:31:40.147+00:00,2023-02-24T00:00:00.000+00:00,EC Granted,0.643,668.0, SWATHI ORGANICS & SPECIALITIES PRIVATE LTD,,Environment clearance form,EC,A,,Proposed Polymerization plant within the Existing Facility ,PUDUCHERRY,Ozhukarai Taluk,THATTANCHAVADY,IA-J-11011/504/2022-IA-II(I),IA-J-11011/504/2022-IA-II(I),,Linear,0.643,0.0,0.643,0.0,0.0,0.0,168.0,500.0,0,0,0,NO,"This is an expansion project within the existing facility,no alternative sites are considered.",NO,YES,NO,2022-12-01T08:17:31.560+00:00,Other,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1787574,937517,,Puducherry,0.0,"M/s.Swathi Organic & Specialities Private Limited proposes to expand their facility by setting up a Polymer Manufacturing Facility within their Existing Facility located at A35, A36 & behind A33 part, A34 part, PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry. ;The Company is also manufacturing specialty chemicals meant for various Textiles, Leather processing units, Hand sanitizers, disinfectant & repacking of Agro micronutrients.;The proposed project is located at Plot A35, A36 & Behind A33 part, A34 part PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry, Tamil Nadu. The total plot area is 1.59 Acres. The project falls in SOI Topo sheet No. 57P/12,16 & 58M/9, 13 and lies between 11°56'49.04""N and 79°47'0.11"" E (Centre co-ordinates).;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1748588&refType=caf&uuid=da45e026-d57e-43c7-a730-01654a074f8c&version=1.0,21888.0
1749231,Expansion,IA/PY/IND3/408262/2022,2022-11-28T07:34:15.181+00:00,,,0.643,668.0, SWATHI ORGANICS & SPECIALITIES PRIVATE LTD,Hubert Enviro Care Systems,Environment clearance form,TOR,A,Synthetic organic chemicals industry ,Proposed Polymerization plant within the Existing Facility ,PUDUCHERRY,Ozhukarai Taluk,THATTANCHAVADY,,,,Linear,0.643,0.0,0.643,0.0,0.0,0.0,168.0,500.0,0,0,0,NO,"This is an expansion project within the existing facility,no alternative sites are considered.",NO,YES,NO,2022-11-30T05:27:58.836+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1749231,937517,,Puducherry,0.0,"M/s.Swathi Organic & Specialities Private Limited proposes to expand their facility by setting up a Polymer Manufacturing Facility within their Existing Facility located at A35, A36 & behind A33 part, A34 part, PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry. ;The Company is also manufacturing specialty chemicals meant for various Textiles, Leather processing units, Hand sanitizers, disinfectant & repacking of Agro micronutrients.;The proposed project is located at Plot A35, A36 & Behind A33 part, A34 part PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry, Tamil Nadu. The total plot area is 1.59 Acres. The project falls in SOI Topo sheet No. 57P/12,16 & 58M/9, 13 and lies between 11°56'49.04""N and 79°47'0.11"" E (Centre co-ordinates).;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1748588&refType=caf&uuid=da45e026-d57e-43c7-a730-01654a074f8c&version=1.0,21888.0
1660821,Expansion,IA/PY/IND3/407468/2022,2022-11-22T08:22:02.664+00:00,,,0.643,668.0, SWATHI ORGANICS & SPECIALITIES PRIVATE LTD,Hubert Enviro Care Systems,Environment clearance form,TOR,A,Synthetic organic chemicals industry ,Proposed Polymerization plant within the Existing Facility,PUDUCHERRY,Ozhukarai Taluk,THATTANCHAVADY,,,,Linear,0.643,0.0,0.643,0.0,0.0,0.0,168.0,500.0,0,0,0,NO,"This is an expansion project within the existing facility,no alternative sites are considered.",NO,YES,NO,2022-11-22T10:17:19.667+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1660821,937517,,Puducherry,0.0,"M/s.Swathi Organic & Specialities Private Limited proposes to expand their facility by setting up a Polymer Manufacturing Facility within their Existing Facility located at A35, A36 & behind A33 part, A34 part, PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry. The Company is also manufacturing specialty chemicals meant for various Textiles, Leather processing units, Hand sanitizers, disinfectant & repacking of Agro micronutrients. The proposed project is located at Plot A35, A36 & Behind A33 part, A34 part PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry, Tamil Nadu. The total plot area is 1.59 Acres. The project falls in SOI Topo sheet No. 57P/12,16 & 58M/9, 13 and lies between 11°56'49.04""N and 79°47'0.11"" E (Centre co-ordinates).;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1660614&refType=caf&uuid=23e2bdba-4f8c-4159-a25e-a42279e876db&version=1.0,21888.0
1619633,Expansion,IA/PY/IND3/407140/2022,2022-11-19T07:03:29.666+00:00,,,0.643,668.0, SWATHI ORGANICS & SPECIALITIES PRIVATE LTD,Hubert Enviro Care Systems,Environment clearance form,TOR,A,Synthetic organic chemicals industry ,Proposed Polymerization plant within the Existing Facility ,PUDUCHERRY,Ozhukarai Taluk,THATTANCHAVADY,,,"A35, A36 & Behind A33 part, A34 part",Linear,0.643,0.0,0.643,0.0,0.0,0.0,168.0,500.0,0,0,0,NO,"This is an expansion project within the existing facility,no alternative sites are considered.",NO,YES,NO,2022-11-22T07:53:35.645+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1619633,937517,"A35, A36 & Behind A33 part, A34 part",Puducherry,0.0,"M/s.Swathi Organic & Specialities Private Limited proposes to expand their facility by setting up a Polymer Manufacturing Facility within their Existing Facility located at A35, A36 & behind A33 part, A34 part, PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry. ;The Company is also manufacturing specialty chemicals meant for various Textiles, Leather processing units, Hand sanitizers, disinfectant & repacking of Agro micronutrients.;The proposed project is located at Plot A35, A36 & Behind A33 part, A34 part PIPDIC Industrial Estate, Mettupalayam, Oulgaret Municipality, Puducherry, Tamil Nadu. The total plot area is 1.59 Acres. The project falls in SOI Topo sheet No. 57P/12,16 & 58M/9, 13 and lies between 11°56'49.04""N and 79°47'0.11"" E (Centre co-ordinates).;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1617752&refType=caf&uuid=265904f2-3240-42ce-a8d0-7f3ffe7ad8b4&version=1.1,21888.0
841012,Expansion,IA/PY/IND3/401028/2022,2022-09-22T09:21:00.898+00:00,,,0.093,2031.62,ANABOND LIMITED,Hubert Enviro Care Systems,Environment clearance form,TOR,B1,Synthetic organic chemicals industry ,"Proposed expansion of manufacturing facility of existing sealants and proposed sealants, adhesives, lubricants, resins and synthesis based products",PUDUCHERRY,Villianur Taluk,TIRUBHUVANAI,,,,Non - Linear,0.093,0.0,0.093,1.6633,0.0,1.6633,613.09,1418.53,0,0,0,NO,"Since the proposed expansion project is to be set up adjacent to the existing facility, the alternate site is not considered. ",NO,NO,NO,2022-10-03T11:48:34.908+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=841012,,,PUDUCHERRY,22500.0,"The proposed expansion project scope involves setting up of manufacturing plant of 4026.96 TPA  of sealants, adhesives, resins, lubricants and synthesis based products adjacent to the existing unit  having the land area of 16,633 sq m and the proposed project falls under Schedule 5 (f) Synthetic Organic Chemicals and Category B1.",,15288.0
840893,New,IA/PY/IND3/401026/2022,2022-09-22T09:14:34.341+00:00,2022-12-07T08:14:10.233+00:00,TOR GRANTED,3.1485,60000.0,CHEMPLAST SANMAR LIMITED,,Environment clearance form,TOR,A,Synthetic organic chemicals industry ,"Environment Clearance for Proposed Project for Custom Manufactured Chemicals Division (CMCD) of Chemplast Sanmar Limited at Village Melavanjore, T. R. Pattinam, Karaikal,  Puducherry UT by M/s. Chemplast Sanmar Limited",PUDUCHERRY,Karaikal Taluk,VANJIYUR,IA-J-11011/119/2022-IA-II(I),IA-J-11011/119/2022-IA-II(I),,Non - Linear,3.1485,0.0,3.1485,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,"No alternate site was considered for the project because of the following reasons: Water: Chemplast Sanmar Limited (CSL) has decided to completely forego the use of ground water for any of its projects. This led to a choice of desalination plant to meet the entire water requirement of the operations. The proposed location being closer to sea, CSL proposes to set up a desalination plant to cater to its fresh water requirements and will apply as separate application. The proposed desalination plan",NO,NO,NO,2022-09-28T06:41:52.293+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=840893,644994,,Karaikal,189800.0,The proposed project is Agro and other intermediates Speciality Chemicals Manufacturing Plant that is covered under Category – 5 (f) & 5 (b) (One Product in 5b is Spiropidion (SPID)),https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=833892&refType=caf&uuid=c42d0246-5ce3-4f75-af94-b69b85a9b04c&version=1.1,116800.0
